Crack orientation (degree),Position X (px),Position Y (px),Length (px),Depth (px),GT crack,GT structure,GT noise
-3.559046,892,3974,1210.470813,4.841590,1,0,0
-1.060912,792,281,1350.180353,4.655295,1,0,0
-82.587339,3333,2494,392.735696,3.789750,0,0,1
-0.662349,3214,371,345.971885,4.053364,0,0,1
16.654306,3339,507,115.380685,3.744650,0,0,1
-22.340648,1359,2135,381.318392,4.217317,1,0,0
2.483876,3172,3426,438.409942,5.029613,0,1,0
1.242664,1770,3328,461.088847,4.647186,0,1,0
7.399595,3333,2538,77.184565,3.819549,0,0,1
-73.950995,3354,426,73.303950,4.057644,0,0,1
1.999539,3165,1546,401.241386,3.982587,0,1,0
9.926246,648,2090,324.630401,4.132597,1,0,0
-3.168850,3106,250,289.442543,3.675862,0,1,0
-0.000000,3168,3985,289.000000,3.513793,0,1,0
2.045408,3291,324,197.122634,4.306220,0,1,0
-0.493917,3121,2083,232.000000,3.716738,0,1,0
1.432096,3349,682,79.205755,3.770053,0,0,1
8.289404,889,1996,152.591759,4.486842,1,0,0
-8.488944,3306,2580,66.422915,3.847953,0,0,1
0.364936,3298,1449,156.953339,3.936709,0,1,0
-83.418055,3232,3087,51.414693,4.277778,0,0,1
-4.184916,3372,581,41.000000,3.919708,0,0,1
-0.690277,204,4004,167.000000,2.778443,1,0,0
22.770379,847,2028,90.348686,4.776596,1,0,0
-0.000000,1876,1456,104.000000,3.914286,0,0,1
0.682060,1099,2003,84.480284,3.950980,1,0,0
-6.546291,3132,1047,63.348143,4.191489,0,0,1
-19.983107,3301,2471,40.430142,3.740260,0,0,1
22.750976,3340,2637,31.687511,3.837838,0,0,1
8.130102,3092,1030,49.780317,3.952381,0,0,1
-14.036243,3365,2719,37.101819,4.604167,0,0,1
-1.468801,3200,360,39.000000,4.382979,0,0,1
